商品名称,商品ID,评论内容,评论时间,评论人昵称,顾客会员等级,购物使用的平台

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,一直信赖京东 方便又快捷 今天买明天到 服务还好 满意,2018-04-02 21:09:58,威***哥,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好用的，服务很棒，京东到货很快,2018-03-31 20:01:35,古***翠,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机屏幕效果好，运行流畅不卡，玩游戏很快！,2018-03-31 09:57:53,科***鱼,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,价格划算，发货快，京东产品值得信赖手机性能不错,2018-03-30 23:33:26,我***5,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,做工质感挺好，包装也还行，价格实惠，物流速度给力，快递小哥服务很好,2018-03-29 19:49:54,晴***y,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机的运行速度快，拍照好看，续航能力强。性价比高，物流快，服务好，非常满意。,2018-03-29 14:39:05,F***妞,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东靠谱！！,2018-03-28 16:53:24,背***校,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机很好，5星好评，屏幕很大。刚买的运行速度很快，京东快递就是快，快递小哥赞,2018-03-28 12:43:11,为***狂,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,质量挺好的，挺喜欢,2018-03-28 09:28:42,d***1,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还好,2018-03-27 08:24:41,昂***5,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,嘿嘿这个的颜色啊，挺正的,2018-03-24 14:01:57,你***听,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东的质量和速度没得说，买的放心，用的踏实，比实体店的服务不差，满意,2018-03-24 10:24:08,j***1,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,买了确实漂亮，就是屏幕上很多微痕不知道怎么回事,2018-03-24 07:00:51,z***g,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,是正品机器。好用，发货特别快，特别喜欢京东自营店。,2018-03-22 17:37:05,j***8,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机用的还不错，正品。?,2018-03-22 16:51:49,B***8,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,好评,2018-03-22 13:27:13,时***i,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,给老婆的礼物 很喜欢,2018-03-21 22:13:07,g***6,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常好,2018-03-21 14:08:54,j***a,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,东西很不错，这里的服务还是一如既往的给力，商品种类确实很多，和其他网站相比选择余地也就大了很多。&nbsp;而且可以用同类商品做比较。商品的价格也不贵，性价比挺高的。这次的商品针对是很不错，很满意这次在這裡的网购。,2018-03-20 18:45:01,韦***0,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东的东西让人放心，希望京东越来越好。,2018-03-18 12:59:14,阿***哥,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,发货快，送货也快，很喜欢，好用,2018-03-18 01:47:40,j***v,金牌会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还不错，给我姐买的，质量没得挑，服务也很好，到货快，不错。,2018-03-17 20:48:59,c***9,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,还不错，给我姐买的，质量没得挑，服务也很好，到货快，不错。,2018-03-17 20:47:39,山***7,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,活动时候入的，性价比高，好评,2018-03-17 19:17:52,j***4,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,一般吧。,2018-03-17 17:13:35,天***4,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好的，活动买的，价格比较划算,2018-03-17 11:22:06,j***h,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机质量不错，很喜欢，反应速度快，大爱,2018-03-16 22:21:23,j***g,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,非常不错的手机，外形很漂亮，功能也很强大，很满意的说,2018-03-16 18:28:59,j***a,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机拍照效果很不错，屏幕触屏很灵敏，电池耐用，总体还不错！,2018-03-15 11:20:18,j***婷,PLUS会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机电池续航时间长，拍照效果很好，运行流畅，不卡机，买值了！,2018-03-15 10:31:36,可***鱼,钻石会员,来自京东Android客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,正常 一般 可以 还行 不错,2018-03-15 09:54:37,w***6,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机用起来很不错?是正品,2018-03-14 19:50:17,j***h,银牌会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东发货就是快，服务好,2018-03-14 18:00:37,哒***嘟,PLUS会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,京东发货就是快，服务好,2018-03-14 17:53:06,米***0,钻石会员,

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,手机质量不错，款式时尚精美，挺喜欢！,2018-03-14 17:51:45,w***4,钻石会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,很好，一直在京东购买，活动很划算。,2018-03-14 15:18:41,网***购,PLUS会员,来自京东iPhone客户端

Apple iPhone 7 Plus 128G 红色特别版 移动联通电信4G手机,3995645,挺好的，活动时候买的，价格还可以 ！,2018-03-14 12:58:18,你***g,PLUS会员,

