salary,companySize,district,work_year,company_name,position_name,positionAdvantage
25k-50k,2000人以上,海淀区,3-5年,贝壳找房（北京）科技有限公司,Python开发工程师,"扁平管理,六险二金,免费三餐,弹性工作"
12k-20k,50-150人,朝阳区,1-3年,北京高域海汇科技有限公司,Python开发工程师,"核心业务,行业大牛,弹性作息,超多福利"
20k-30k,500-2000人,朝阳区,1-3年,北京蚂蜂窝网络科技有限公司,python开发工程师 (MJ000414),"免费早午饭,免费班车,年度旅游,六险一金"
12k-18k,50-150人,海淀区,1-3年,超对称（北京）科技有限公司,Python,有期权股权、好老板、带薪年假、五险一金
20k-35k,50-150人,海淀区,1-3年,北京启明合心科技有限公司,Python开发工程师,"大数据处理,自由度大,有挑战,公司午晚餐"
15k-25k,少于15人,海淀区,1-3年,颐邦（北京）医院管理有限公司,Python研发工程师,"团队优秀,技术强,薪酬高,福利好"
20k-40k,50-150人,海淀区,3-5年,爱笔（北京）智能科技有限公司,Python开发工程师,"初创公司,技术驱动"
18k-35k,500-2000人,朝阳区,1-3年,北京闪银奇异科技有限公司,Python开发工程师,"全五险一金,牛人多,发展快,福利好"
20k-40k,500-2000人,海淀区,1-3年,北京旷视科技有限公司,Python工程师,"技术驱动,极客氛围,大牛团队"
20k-40k,2000人以上,朝阳区,3-5年,上海蔚来汽车有限公司,python,"六险一金,弹性办公,租房补贴,学霸团队"
20k-40k,2000人以上,海淀区,1-3年,北京字节跳动科技有限公司,python开发工程师,六险一金，高薪期权，弹性工作，免费三餐
20k-40k,500-2000人,海淀区,5-10年,中寰卫星导航通信有限公司,python开发工程师,六险一金；免费体检；节日福利；免费班车
18k-20k,2000人以上,朝阳区,5-10年,绫致时装（天津）有限公司,Python 开发工程师,发展前景好
15k-30k,500-2000人,海淀区,1-3年,北京国双科技有限公司,Python研发工程师,年度旅游 节日福利 14薪 年度体检
17k-24k,150-500人,朝阳区,3-5年,北京基调网络股份有限公司,Python研发工程师,上市公司 带薪年假 地铁周边
25k-50k,2000人以上,海淀区,3-5年,贝壳找房（北京）科技有限公司,Python开发工程师,"扁平管理,六险二金,免费三餐,弹性工作"
12k-20k,50-150人,朝阳区,1-3年,北京高域海汇科技有限公司,Python开发工程师,"核心业务,行业大牛,弹性作息,超多福利"
20k-30k,500-2000人,朝阳区,1-3年,北京蚂蜂窝网络科技有限公司,python开发工程师 (MJ000414),"免费早午饭,免费班车,年度旅游,六险一金"
20k-35k,50-150人,海淀区,1-3年,北京启明合心科技有限公司,Python开发工程师,"大数据处理,自由度大,有挑战,公司午晚餐"
20k-40k,50-150人,海淀区,3-5年,爱笔（北京）智能科技有限公司,Python开发工程师,"初创公司,技术驱动"
15k-25k,少于15人,海淀区,1-3年,颐邦（北京）医院管理有限公司,Python研发工程师,"团队优秀,技术强,薪酬高,福利好"
18k-35k,500-2000人,朝阳区,1-3年,北京闪银奇异科技有限公司,Python开发工程师,"全五险一金,牛人多,发展快,福利好"
20k-40k,500-2000人,海淀区,1-3年,北京旷视科技有限公司,Python工程师,"技术驱动,极客氛围,大牛团队"
20k-40k,2000人以上,朝阳区,3-5年,上海蔚来汽车有限公司,python,"六险一金,弹性办公,租房补贴,学霸团队"
20k-40k,2000人以上,海淀区,1-3年,北京字节跳动科技有限公司,python开发工程师,六险一金，高薪期权，弹性工作，免费三餐
20k-40k,500-2000人,海淀区,5-10年,中寰卫星导航通信有限公司,python开发工程师,六险一金；免费体检；节日福利；免费班车
18k-20k,2000人以上,朝阳区,5-10年,绫致时装（天津）有限公司,Python 开发工程师,发展前景好
15k-30k,500-2000人,海淀区,1-3年,北京国双科技有限公司,Python研发工程师,年度旅游 节日福利 14薪 年度体检
